# epoch value error jitter offset subset exptime 
  2454341.493072 -2184.616692     1.232704 0 0 -1   300.000300 
  2454341.496857 -2184.794087     1.067189 0 0 -1   299.999400 
  2454341.500583 -2186.645997     1.147128 0 0 -1   299.996700 
  2454341.504461 -2188.046982     1.187617 0 0 -1   300.001300 
  2454341.508292 -2192.581747     1.164984 0 0 -1   299.997700 
  2454341.512169 -2192.890889     1.176555 0 0 -1   299.998100 
  2454341.516011 -2196.683793     1.102090 0 0 -1   299.997700 
  2454341.519773 -2196.639137     1.127950 0 0 -1   299.997500 
  2454341.523719 -2194.441248     1.120770 0 0 -1   299.997800 
  2454341.527666 -2186.321253     1.049626 0 0 -1   299.996400 
  2454341.531346 -2178.420630     0.781622 0 0 -1   300.000100 
  2454341.535177 -2172.215826     0.777120 0 0 -1   299.999700 
  2454341.539020 -2174.370761     0.787491 0 0 -1   300.000200 
  2454341.542897 -2179.886496     0.756351 0 0 -1   299.997500 
  2454341.546658 -2190.089394     0.759847 0 0 -1   300.000600 
  2454341.550559 -2198.868178     0.791950 0 0 -1   299.996200 
  2454341.554355 -2210.419489     0.755111 0 0 -1   299.996500 
  2454341.558151 -2222.463274     0.775521 0 0 -1   299.995800 
  2454341.561993 -2234.387190     0.789123 0 0 -1   299.996600 
  2454341.565824 -2244.859953     0.840573 0 0 -1   299.997100 
  2454341.569690 -2254.429945     0.819361 0 0 -1   299.996700 
  2454341.573567 -2261.835785     0.794868 0 0 -1   299.997500 
  2454341.577363 -2267.654471     0.828728 0 0 -1   299.997100 
  2454341.581113 -2265.908545     0.796823 0 0 -1   299.996500 
  2454341.585060 -2258.615905     0.800652 0 0 -1   299.996000 
  2454341.588787 -2249.296794     0.751555 0 0 -1   299.997900 
  2454341.592652 -2244.313862     0.857737 0 0 -1   299.996900 
  2454341.596379 -2245.271744     0.989862 0 0 -1   299.996700 
  2454341.600360 -2244.514219     0.837948 0 0 -1   299.997800 
  2454341.604122 -2246.965605     0.831436 0 0 -1   299.995900 
  2454341.607872 -2249.312486     0.886280 0 0 -1   299.997400 
  2454341.611934 -2251.508728     1.121266 0 0 -1   299.996800 
  2454341.623658 -2259.520549     1.707485 0 0 -1   299.999800 
  2454341.627825 -2262.735210     1.668677 0 0 -1   299.995800 
  2454341.631551 -2265.703616     1.440641 0 0 -1   299.997700 
  2454341.635417 -2265.985162     1.589506 0 0 -1   299.996700 
  2454341.639074 -2266.792479     1.490569 0 0 -1   299.997300 
  2454341.643137 -2270.953308     1.434385 0 0 -1   299.997000 
  2454341.646782 -2269.621152     1.304008 0 0 -1   299.997000 
  2454341.650729 -2272.672271     1.288934 0 0 -1   299.997300 
